"Add New Folder","Neue Favoritenliste erstellen"
"Add to Cart","In den Warenkorb"
"Add to Favorites","Zu Favoriten hinzuf&uuml;gen"
"Add to List","Zu Favoriten hinzuf&uuml;gen"
"All Folders","&Uuml;bersicht aller Favoritenlisten"
"Are you sure?","Sind Sie sicher?"
"Can not save item: %s.","Kann Artikel %s nicht speichern."
"Create New Folder","Neue Liste anlegen"
"Details","Details"
"Edit","Bearbeiten"
"Enabled","Aktiviert"
"Favorites Section","Favoriten"
"Favorites","Favoriten"
"Fill in your favorites products to be able to purchase all of them with one click!","Legen Sie hier Ihre pers&#246;nlichen Favoritenlisten an. Danach k&ouml;nnen Sie individuell Produkte hinzuf&uuml;gen, um sie sp&auml;ter mit einem Klick bestellen zu k&ouml;nnen."
"Folder Details","Listen Details"
"Folder has been successfully removed","Die Liste wurde erfolgreich gel&ouml;scht"
"Folder has been successfully saved","Die Liste wurde erfolgreich gespeichert"
"Folder","Favoritenliste"
"General","Allgemein"
"ID","Nr."
"Move to:","Verschieben nach:"
"My Favorites","Meine Favoriten"
"Name","Name"
"Please specify the product(s) quantity","Bitte geben Sie die Artikelmenge an"
"Price","Preis"
"Product has been successfully added to the folder. Click <a href=""%s"">here</a> to continue shopping","Das Produkt wurde der u.g. (zuletzt angelegten) Favoritenliste erfolgreich hinzugef&uuml;gt. Um es zu einer anderen Liste hinzuzuf&uuml;gen, w&auml;hlen Sie dies rechts beim Produkt 'Verschieben nach' aus (min. 2 Listen erforderlich) und klicken Sie auf 'Aktualisieren'. Sie k&ouml;nnen den Listennamen auch &auml;ndern und dann speichern. Klicken Sie <a href=""%s"">hier</a> um weiter zu bestellen."
"Product has been successfully removed from the folder","Das Produkt wurde erfolgreich aus der Liste gel&ouml;scht"
"Product","Produkt"
"Qty","Menge"
"Quantities have been successfully updated","Die Mengen wurden erfolgreich angepasst"
"Remove","L&ouml;schen"
"Save Name","Listenname speichern"
"Select ...","Ausw&auml;hlen ..."
"Start adding items from the <a href=""%s"">catalog</a> to your favorites right now!","Sie k&ouml;nnen nun Artikel aus dem <a href=""%s"">Katalog</a> in Ihre Favoritenliste hinzuf&uuml;gen!"
"There was an error while adding item to the list: %s","Es gab ein Problem beim Hinzuf&uuml;gen des Produktes zur Liste: %s"
"There was an error while removing item from the folder: %s","Es gab ein Problem beim L&ouml;schen des Produktes aus der Liste: %s"
"Unable to find folder for saving","Es wurde keine Liste zum Speichern gefunden"
"Update","Aktualisieren"
