"STATUS_BEGIN","Anfrage gestartet"
"STATUS_PROPOSAL_BEGIN","Proposal created, not sent"
"STATUS_REQUEST","Anfrage in Verarbeitung"
"STATUS_REQUEST_EXPIRED","Anfrage abgelaufen"
"STATUS_REJECTED","Anfrage gelöscht"
"STATUS_CANCELED","Anfrage abgebrochen"
"STATUS_PROPOSAL","Angebot gesendet"
"STATUS_PROPOSAL_EXPIRED","Angebot abgelaufen"
"STATUS_DENIED","Angebot abgelehnt"
"STATUS_CONFIRMED","Angebot akzeptiert"
"STATUS_PROPOSAL_SAVED","Angebot gespeichert"
"STATUS_AUTO_PROPOSAL","Auto proposal sent"
"Allowed to Quote Mode","Preisanfragen zulassen"
"Qquote proposal email was't sent to the client for quote #%s","Die Angebots E-Mail für Anfrage-Nr.: %s konnte nicht an den Kunden versendet werden"
"Quote was saved with errors","Fehler beim Speichern der Anfrage"
"Owner price","Price Proposal"
"Information","Information"
"Quote view","Preisanfrage ansehen"
"Message Centre","Nachrichten"
"Load default Message","Nachrichtenvorlage laden"
"Message Information","Inhalt der Nachricht"
"Save as New Template","als neue Vorlage speichern"
"Template name","Name der Vorlage"
"Optional Information","Optional Information"
"Save Quote","Angebot speichern"
"Cancel Quote","Angebot löschen"
"Quote #","Preisanfrage Nr.:"
"Created On","Created On"
"First Name","Vorname"
"Last Name","Nachname"
"Company Name","Firma"
"City, Zip code","Stadt, Postleitzahl"
"Email","Email"
"Country","Country"
"Country","Country"
"City","Stadt"
"Status","Status"
"Action","Action"
"View","View"
"Delete","Delete"
"Are you sure?","Sind Sie sicher?"
"Change status","Change status"
"Status","Status"
"Quotations","Preisanfragen"
"Assigned To","Sachbearbeiter"
"Items Manager","Items Manager"
"Item Manager","Item Manager"
"Item does not exist","Item does not exist"
"Quote was successfully saved","Die Preisanfrage wurde erfolgreich gespeichert"
"Unable to find item to save","Unable to find item to save"
"Quote was successfully canceled","Quote Request was successfully canceled"
"Please select item(s)","Please select item(s)"
"Quote Proposal","Quote Proposal"
"Log in and <a href='%s'>click on to View Quote.</a>","Login in and <a href='%s'>click on to View Quote.</a>"
