"STATUS_BEGIN","Start"
"STATUS_PROPOSAL_BEGIN","Offerte aangemaakt, niet verstuurd"
"STATUS_REQUEST","Aanvraag geplaatst"
"STATUS_REQUEST_EXPIRED","Aanvraag verlopen"
"STATUS_REJECTED","Offerte geweigerd"
"STATUS_CANCELED","Offerte geannuleerd"
"STATUS_PROPOSAL","Offerte verstuurd"
"STATUS_PROPOSAL_EXPIRED","Offerte verlopen"
"STATUS_DENIED","Offerte afgewezen"
"STATUS_CONFIRMED","Geaccepteerd"
"STATUS_ORDERED", "Besteld"
"STATUS_PROPOSAL_SAVED","Offerte in Afwachting"
"STATUS_AUTO_PROPOSAL","Offerte automatisch verzonden"
"Owner price","Normaal"
"Information","Informatie"
"Quote view","Offerte bekijken"
"Optional Information","Optionele informatie"
"Save Quote","Bewaar offerte"
"Cancel Quote","Annuleer offerte"
"Quote #","Offerte #"
"Created On","Gemaakt op"
"First Name","Voornaam"
"Last Name","Achternaam"
"Email","Email"
"Country","Land"
"Country","Land"
"City","Plaats"
"Status","Status"
"Action","Actie"
"View","Bekijk"
"Delete","Verwijder"
"Are you sure?","Weet u het zeker?"
"Change status","Wijzig status"
"Status","Status"
"Quotations","Offertes"
"Items Manager","Producten manager"
"Item Manager","Product manager"
"Item does not exist","Product bestaat niet"
"Quote was successfully saved","Offerte is succesvol opgeslagen"
"Unable to find item to save","Kon geen product vinden om op te slaan"
"Quote was successfully canceled","Offerte aanvraag is succesvol geannuleerd"
"Please select item(s)","Selecteer product(en)"
"Quote Proposal","Offerte voorstel"
"Log in and <a href='%s'>click on to View Quote.</a>","Login en <a href='%s'>klik verder om offerte te bekijken.</a>"
"Thanks for your Quote request.","Bedankt voor uw offerte aanvraag."
"Quote information is avaliable by link below","Voor offerte informatie klik op onderstaande link"
"Unable to send email.","Kan email niet versturen."
"Quote request information","Algemene opmerking"
"Quote request information","Algemene opmerking"
"Product name","Productnaam"
"Sku","Sku"
"SKU","SKU"
"Price","Prijs"
"Requested information","Aangevraagde informatie"
"Comment with Product","Opmerking bij product"
"Qty","Aantal"
"Allowed to Quote Mode","Toegang tot offerte omgeving"
"Make shipping proposal?","Offerte voor verzendkosten maken?"
"Price","Prijs"
"Product Information","Product informatie"
"Shipping information","Verzend informatie"
"Quote_Proposal","Offerte voorstel"
"Price_proposal_%s","Prijs_voorstel_%s"
"Date of Proposal","Datum van offerte"
"Product","Product"
"Price","Prijs"
"Price proposal","Offerte"
"Price Proposal","Offerte"
"QTY","Aantal"
"Tax","BTW"
"Subtotal","Subtotaal"
"Last update","Laatste update"
"Add Quote","Voeg offerte toe"
"View Quote","Bekijk offerte"
"Create New Quote","Maak nieuwe offerte"
"Add Selected Product(s) to Advanced Quote","Voeg geselecteerde product(en) toe aan offerte aanvraag"
"Quote request","Offerte aanvraag"
"Quote # %s | Quote Date %s","Offerte aanvraag # %s | Offerte aanvraag datum %s"
"Quote","Offerte"
"Quote Status","Offerte status"
"RFQ From","Aanvraag van"
"Customer Name","Klant naam"
"Customer Group","Klant groep"
"Shipping address","Verzend adres"
"Quote #","Offerte #"
